POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,latitude,longitude
1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31559,Verace 26,AGV26-02,287104.0,6273196.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,,22,RS,EOLCVRS031559-1-01,-33.65982351699995,-53.29601915999996
2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32523,Delfina VI,3,286379.0,8891034.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina D Eólica S.A.,,23,BA,EOLCVBA032523-6-01,-10.026417056999946,-40.948978703999956
1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30567,União dos Ventos 6,UV6-07,193653.023,9436209.906,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Canto da Ilha Geradora Eólica S.A,,24,RN,EOLCVRN030567-7-01,-5.094696021999937,-35.76283818199994
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 14,274097.0,9678317.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,25,CE,EOLCVCE028631-1-01,-2.9084921079999617,-41.03229992299998
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30469,REB Cassino I,11,385029.0,6432733.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),EOL Vento Energias Renováveis S.A,,26,RS,EOLCVRS030469-7-01,-32.236170182999956,-52.22029784899996
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 38,272969.0,9677058.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,27,CE,EOLCVCE028631-1-01,-2.91985664799995,-41.042463992999956
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30911,São Jorge,SC 03,473072.0,9641222.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica São Jorge S.A.,,28,CE,EOLCVCE030911-7-01,-3.245913087999952,-39.24238066699996
2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30281,Mangue Seco 3,MS3-07,792927.0,9428121.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 3 – Geradora e Comercializadora de Energia Elétrica S.A.,,29,RN,EOLCVRN030281-3-01,-5.168302786999959,-36.35780204799994
3.0,178.0,120.0,116.0,2022-10-24 15:37:27,30898,Terral,AEG-05,718874.2,9448884.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Usina de Energia Eólica Terral S.A.,,30,RN,EOLCVRN030898-6-01,-4.983029482999939,-37.02600759599994
1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30339,Miassaba 3,WT05,779050.0,9432700.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Miassaba 3 Geradora de Energia S.A,,31,RN,EOLCVRN030339-9-01,-5.127445499999965,-36.483042344999944
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30767,Chuí I,UG8,281176.85,6270261.47,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí I S.A.,,32,RS,EOLCVRS030767-0-01,-33.68506513799997,-53.36061775799993
2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30515,Renascença I,UG2,181390.213,9411328.003,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energisa Geração - Central Eólica Renascença I S.A.,,33,RN,EOLCVRN030515-4-01,-5.3189858359999675,-35.87436466799994
2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30516,Renascença II,UG14,178905.597,9412700.574,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energisa Geração - Central Eólica Renascença II S.A.,,34,RN,EOLCVRN030516-2-01,-5.30653908499994,-35.89674240599993
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30874,Riachão IV,AEG 8,228791.0,9390217.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Eólica Anemoi Ltda.,,35,RN,EOLCVRN030874-9-01,-5.5116910599999756,-35.44779591699995
1.5,123.5,85.0,77.0,2022-10-24 15:37:27,29075,Vitória,2,277439.18,9273568.52,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Cardus Energia Ltda.,,36,PB,EOLCVPB029075-0-01,-6.567918566999936,-35.01281714399994
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,5,176815.0,9398411.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,37,RN,EOLCVRN030864-1-01,-5.435547779999979,-35.916167679999944
2.0,123.0,78.0,90.0,2022-10-24 15:37:27,30448,Caetité 3,C3-31,769191.833,8427588.256,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Caetité 3 Energia Renovável S.A.,,38,BA,EOLCVBA030448-4-01,-14.210191906999967,-42.505683629999965
1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30416,Rei dos Ventos 1,RDV 14,810700.0,9435960.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Eolo Geradora de Energia S.A.,,39,RN,EOLCVRN030416-6-01,-5.09680184299998,-36.19791496499994
1.5,141.45,100.0,82.9,2022-10-24 15:37:27,30296,Barra dos Coqueiros,WT 20,727119.0,8805669.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energen Energias Renováveis S.A.,,40,SE,EOLCVSE030296-1-01,-10.797232702999963,-36.922823456999936
0.8,99.0,75.0,48.0,2022-10-24 15:37:27,28174,Beberibe,WEC - 26,602928.1729,9535475.6734,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Beberibe S.A.,,41,CE,EOLCVCE028174-3-01,-4.202438126999937,-38.07291819499994
2.1,153.7,120.0,110.0,2022-10-24 15:37:27,30924,Santa Catarina,SC-01,645522.0,9492096.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energia dos Ventos III S.A.,,42,CE,EOLCVCE030924-9-01,-4.593860764999931,-37.68815782499996
1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30731,Teiu,TEI-029,758798.0,8414305.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Teiu S.A.,,43,BA,EOLCVBA030731-9-01,-14.331175193999968,-42.60066056299996
3.465,150.0,84.0,132.0,2022-10-24 15:37:27,35229,Serra do Vento,SEV - 06,277972.0,8916107.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Serra do Vento Energética S.A.,,44,BA,EOLCVBA035229-2-01,-9.799324703999957,-41.024256528999956
2.5,148.0,90.0,116.0,2022-10-24 15:37:27,33634,Umburanas 17,UMB_17_08,219078.0,8817111.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Centrais Eólicas Umburanas 14 Ltda.,,45,BA,EOLCVBA033634-3-01,-10.690159716999972,-41.568061427999965
2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32524,Delfina VII,14,293051.0,8897278.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina E Eólica S.A.,,46,BA,EOLCVBA032524-4-01,-9.970325324999976,-40.88780379899998
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31424,Vaqueta,VAQ_01,763880.0,8422179.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Vaqueta S.A.,,47,BA,EOLCVBA031424-2-01,-14.259564688999944,-42.55434451199994
4.2,200.0,125.0,150.0,2021-01-19 10:09:30,40881,Serrote IV,SIV-1,456646.0,9634390.0,Versão Válida,SIRGAS2000,Não,UTM 24 S (MER -39),Serrote IV Geração de Energia Elétrica S.A.,,48,CE,EOLCVCE040881-6-01,-3.307674411999926,-39.39025422399993
2.7,150.0,89.0,122.0,2023-01-10 14:06:30,32106,Juazeiro,JUA - 07,749597.0,8469123.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Juazeiro S.A.,,49,BA,EOLCVBA032106-0-01,-13.836767025999961,-42.69089774799994
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31509,Pontal 2A,AERO 08,520455.0,6653371.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Enerplan Energia Eólica IV S.A.,,50,RS,EOLCVRS031509-5-01,-30.251100726999937,-50.78737903499996
1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30753,Tamanduá Mirim,TAM-53,758357.0,8410114.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Tamanduá Mirim S.A.,,51,BA,EOLCVBA030753-0-01,-14.36907707399996,-42.60434392499997
1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30490,Da Prata,DPT-02,755016.694944,8455073.894,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas da Prata S.A.,,52,BA,EOLCVBA030490-5-01,-13.96321434899994,-42.639501938999956
1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30563,União dos Ventos 2,UV2-03,186268.012,9437860.741,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Torres de Pedra Geradora Eólica S.A.,,53,RN,EOLCVRN030563-4-01,-5.079507994999972,-35.829331870999965
2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30290,Mangue Seco 5,MS5-04,787628.0,9429245.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 4 – Geradora e Comercializadora de Energia Elétrica S.A.,,54,RN,EOLCVRN030290-2-01,-5.158342234999964,-36.40560682399996
2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30284,Mangue Seco 2,MS2-04,796746.0,9427647.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 2 – Geradora e Comercializadora de Energia Elétrica S.A.,,55,RN,EOLCVRN030284-8-01,-5.172441737999975,-36.32336198099995
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30615,Serra de Santana III,1,775429.0,9333424.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Gestamp Eólica Seridó S.A.,,56,RN,EOLCVRN030615-0-01,-6.024818068999934,-36.51190346599998
2.35,153.5,99.5,108.0,2022-10-24 15:37:27,30807,Emiliana,6,756289.0,8459163.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Enel Green Power Emiliana Eólica S.A.,,57,BA,EOLCVBA030807-2-01,-13.926157749999959,-42.62810989199994
2.3,130.5,80.0,101.0,2022-10-24 15:37:27,30672,Costa Branca,CBR-07,184614.0,9402878.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),SPE Costa Branca Energia S.A.,,58,RN,EOLCVRN030672-0-01,-5.395523136999941,-35.845666182999935
0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29092,Mataraca,48,280999.0,9271472.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,59,PB,EOLCVPB029092-0-01,-6.587407751999933,-34.981052516999966
2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32358,Delfina II,AEG 6,286394.0,8889276.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina A Eólica S.A.,,60,BA,EOLCVBA032358-6-01,-10.042308933999948,-40.94893696599996
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,32091,Angelim,AGL - 05,753267.0,8446069.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Angelim S.A.,,61,BA,EOLCVBA032091-9-01,-14.04472466599998,-42.654862340999955
3.0,162.5,100.0,125.0,2022-10-24 15:37:27,31482,Itarema V,5,402097.0,9671304.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema V S.A.,,62,CE,EOLCVCE031482-0-01,-2.973435773999938,-39.880972966999934
2.3499999,144.0,98.0,92.0,2022-10-24 15:37:27,31519,Casa Nova II,CNII-07,273734.0,8973149.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Companhia Hidroelétrica do São Francisco,,63,BA,EOLCVBA031519-2-01,-9.28349359699996,-41.05977879499994
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30911,São Jorge,SC 10,471229.0,9640777.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica São Jorge S.A.,,64,CE,EOLCVCE030911-7-01,-3.2499348409999698,-39.258970544999954
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28788,Canoa Quebrada,UGE 05,639276.64,9506074.25,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),BVP Geradora de Energia S.A.,,65,CE,EOLCVCE028788-1-01,-4.467535014999953,-37.74466684199996
2.42,130.0,80.0,100.0,2022-10-24 15:37:27,30456,São Pedro do Lago,SPL-12,270960.0,8908780.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),São Pedro do Lago S.A.,,66,BA,EOLCVBA030456-5-01,-9.865163378999966,-41.08857274199994
0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29090,Coelhos II,31,282064.0,9273079.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,67,PB,EOLCVPB029090-4-01,-6.572917383999936,-34.971367089999944
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 12,274078.0,9678583.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,68,CE,EOLCVCE028631-1-01,-2.906086807999941,-41.03246647599997
2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30873,Riachão VII,AEG 4,227188.0,9385542.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Eólica Arena Ltda.,,69,RN,EOLCVRN030873-0-01,-5.553884331999939,-35.462429605999944
1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30339,Miassaba 3,WT14,777550.0,9431300.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Miassaba 3 Geradora de Energia S.A,,70,RN,EOLCVRN030339-9-01,-5.140151668999977,-36.49651381899997
2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30285,Mangue Seco 1,MS1-08,798700.0,9425658.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 1 – Geradora e Comercializadora de Energia Elétrica S.A.,,71,RN,EOLCVRN030285-6-01,-5.190766544999974,-36.306049875999975
2.0,130.0,80.0,100.0,2022-10-24 15:37:27,30455,Sete Gamelerias,SG-03,267619.0,8907788.0000016,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Sete Gameleiras S.A.,,72,BA,EOLCVBA030455-7-01,-9.873939434999954,-41.11908175499997
2.3,154.0,108.0,92.0,2022-10-24 15:37:27,30894,Índios 3,DI3-07,563742.690462,6681867.868127,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos dos índios Energia S.A.,,73,RS,EOLCVRS030894-3-01,-29.99242740899996,-50.33906131599997
2.1,150.0,93.0,114.0,2022-10-24 15:37:27,31412,Ventos de São Martinho,7,190910.0,9414434.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Ventos de São Martinho Energias Renováveis S.A.,,74,RN,EOLCVRN031412-9-01,-5.291369351999947,-35.78843204999998
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30468,REB Cassino III,9,383393.0,6434740.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),EOL Brisa Energias Renováveis S.A.,,75,RS,EOLCVRS030468-9-01,-32.21789943699997,-52.237413507999975
1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30282,Coqueiros,16,391641.0,9682012.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Nova Eólica Coqueiro S.A.,,76,CE,EOLCVCE030282-1-01,-2.87649431899996,-39.974968125999965
2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30790,Chuí II,UG18,279325.73,6270934.72,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí II S.A.,,77,RS,EOLCVRS030790-4-01,-33.67861507199996,-53.38040493799997
1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29052,Aquibatã,AEG 13,430449.8474,7055685.2328,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Aquibatã Energia Eólica S.A.,,78,SC,EOLCVSC029052-1-01,-26.617985585999975,-51.698647311999935
2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28649,Canoa Quebrada,V4,644428.29356,9498143.39092,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Rosa dos Ventos Geração e Comercialização de Energia S.A.,,79,CE,EOLCVCE028649-4-01,-4.53918389699993,-37.69811419399997
1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29069,Amparo,AEG 11,438675.492,7057854.274,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Amparo Energia Eólica S.A.,,80,SC,EOLCVSC029069-6-01,-26.59878419699993,-51.615918395999984
1.65,111.0,70.0,82.0,2022-10-24 15:37:27,28730,Gargaú,WTG1,284336.174,7612839.948,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Gargaú Energética S.A.,,81,RJ,EOLCVRJ028730-0-01,-21.574406546999967,-41.08284536799994
4.2,195.0,120.0,150.0,2022-10-24 15:37:27,36979,Vila Piauí III,VPI-III-2,714751.0,9435306.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Vila Piauí 3 Empreendimentos e Participações S.A.,,82,RN,EOLCVRN036979-9-01,-5.105904271999975,-37.062815530999956
